21.594,18.643,33.311,10.004,7.7972,10.098,13.826,19.026,26.29
20.283,19.818,35.903,10.806,7.7066,9.8458,13.464,18.526,25.579
18.546,20.887,38.23,11.785,7.6422,9.6024,13.112,18.038,24.89
16.441,21.79,40.2,12.965,7.6088,9.3683,12.77,17.564,24.223
14.051,22.466,41.733,14.367,7.6118,9.1439,12.437,17.102,23.576
11.502,22.846,42.768,16.007,7.6571,8.9299,12.114,16.653,22.948
8.9294,22.86,43.301,17.902,7.7521,8.7267,11.799,16.216,22.339
6.4468,22.452,43.358,20.05,7.9062,8.5352,11.493,15.79,21.747
4.1449,21.594,42.993,22.433,8.1301,8.3565,11.197,15.376,21.172
2.0912,20.283,42.283,25.015,8.4361,8.192,10.909,14.972,20.613
0.32536,18.546,41.321,27.749,8.8389,8.0428,10.63,14.58,20.069
-1.141,16.441,40.186,30.555,9.3553,7.9103,10.36,14.198,19.541
-2.3152,14.051,38.948,33.311,10.004,7.7972,10.098,13.826,19.026
-3.2222,11.502,37.668,35.903,10.806,7.7066,9.8458,13.464,18.526
-3.9025,8.9294,36.396,38.23,11.785,7.6422,9.6024,13.112,18.038
-4.3912,6.4468,35.16,40.2,12.965,7.6088,9.3683,12.77,17.564
-4.7233,4.1449,33.976,41.733,14.367,7.6118,9.1439,12.437,17.102
-4.9324,2.0912,32.855,42.768,16.007,7.6571,8.9299,12.114,16.653
-5.0487,0.32536,31.803,43.301,17.902,7.7521,8.7267,11.799,16.216
-5.0979,-1.141,30.817,43.358,20.05,7.9062,8.5352,11.493,15.79
-5.0996,-2.3152,29.895,42.993,22.433,8.1301,8.3565,11.197,15.376
-5.0709,-3.2222,29.032,42.283,25.015,8.4361,8.192,10.909,14.972
-5.0257,-3.9025,28.223,41.321,27.749,8.8389,8.0428,10.63,14.58
-4.9752,-4.3912,27.464,40.186,30.555,9.3553,7.9103,10.36,14.198
-4.9277,-4.7233,26.75,38.948,33.311,10.004,7.7972,10.098,13.826
-4.889,-4.9324,26.076,37.668,35.903,10.806,7.7066,9.8458,13.464
-4.8635,-5.0487,25.44,36.396,38.23,11.785,7.6422,9.6024,13.112
-4.8549,-5.0979,24.837,35.16,40.2,12.965,7.6088,9.3683,12.77
-4.8658,-5.0996,24.267,33.976,41.733,14.367,7.6118,9.1439,12.437
-4.8983,-5.0709,23.726,32.855,42.768,16.007,7.6571,8.9299,12.114
-4.9535,-5.0257,23.214,31.803,43.301,17.902,7.7521,8.7267,11.799
-5.0322,-4.9752,22.729,30.817,43.358,20.05,7.9062,8.5352,11.493
